FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
790/p790-joy-5.gam,320,556,166,57,6,0,6,-4204,-1695,-966,-1273,-270,0,0,18,3,23,37,32,0,445488.593162959,16055.1868379078
790/p790-joy-6.gam,756,686,1035,48,11,0,4,-2994,-1159,-770,-955,-110,0,0,7,1,33,49,44,2,439365.807164887,15808.9700014828
790/p790-joy-7.gam,443,610,303,56,4,0,3,-4000,-1698,-924,-1248,-130,0,0,11,2,42,49,54,0,480170.319955019,16619.4967533103
790/p790-joy-8.gam,630,569,396,47,9,0,5,-3154,-1442,-602,-850,-260,1,0,8,0,41,54,39,0,389361.480648474,13244.5218943851
790/p790-joy-9.gam,352,473,446,52,7,0,5,-3480,-1493,-854,-1123,-10,3,0,10,1,41,35,36,0,260646.257690023,11506.93840358
790/p790-key-1.gam,676,515,623,41,6,0,4,-2321,-1084,-602,-685,50,1,0,1,0,98,88,61,0,496148.121995238,17449.2634644709
790/p790-key-10.gam,454,510,466,40,3,0,3,-2221,-854,-560,-647,-160,0,0,3,0,75,66,55,0,472767.763350289,14601.6032291946
790/p790-key-2.gam,371,468,407,39,7,0,8,-2936,-1984,-476,-536,60,2,0,2,0,70,63,55,0,436985.869592798,13474.9006490002
790/p790-key-3.gam,545,480,456,32,9,0,9,-3342,-2537,-378,-317,-110,1,0,4,0,77,80,67,0,434278.007878841,16197.0115386684
790/p790-key-4.gam,520,688,438,42,5,0,6,-3127,-1534,-812,-711,-70,1,0,5,1,63,85,74,0,445631.406243561,16151.8963298471
790/p790-key-5.gam,487,642,541,41,6,0,7,-3609,-2266,-504,-689,-150,0,0,1,0,97,69,82,0,473461.598464393,15751.1432024821
790/p790-key-6.gam,420,383,434,27,3,1,4,-1510,-1176,-266,-148,80,0,0,0,0,97,83,60,0,438120.315266674,13690.2753134557
790/p790-key-7.gam,364,387,417,30,5,0,5,-1839,-1160,-280,-299,-100,1,0,2,0,81,65,48,0,481204.313080043,13774.635384052
790/p790-key-8.gam,298,527,587,39,5,0,4,-2840,-1288,-938,-614,0,0,0,4,1,75,38,63,0,508319.383664051,16372.5592409524
790/p790-key-9.gam,394,515,322,31,3,0,5,-2100,-1438,-350,-312,0,0,0,5,1,65,55,62,0,479346.911532018,15687.2664437252
804/p804-joy-1.gam,759,867,1398,32,8,0,2,-1512,-330,-910,-412,140,3,0,0,0,117,90,84,0,491538.231439581,12315.5045987376
804/p804-joy-10.gam,787,764,1699,28,8,0,2,-1158,-90,-1008,-200,140,5,0,1,0,114,118,76,4,441108.816401622,12271.2808398177
804/p804-joy-2.gam,1023,1000,1683,47,6,0,2,-2649,-790,-994,-875,10,1,0,1,0,105,126,88,4,446981.210035522,14344.1461979748
804/p804-joy-3.gam,894,848,2014,15,12,0,2,-1167,-490,-1078,291,110,2,0,0,0,100,127,83,3,464624.106085368,10336.1197884255
804/p804-joy-4.gam,784,1046,1728,48,12,0,2,-2302,-310,-980,-952,-60,3,0,0,0,112,101,108,2,440727.425126079,13893.5689637867
804/p804-joy-5.gam,1043,849,2022,35,10,0,5,-2447,-982,-1008,-467,10,2,0,0,0,107,133,91,3,490042.248599765,15378.0749923517
804/p804-joy-6.gam,931,1027,1917,33,6,0,4,-2095,-946,-826,-373,50,3,0,1,0,73,90,89,1,420219.000053344,13589.4421855662
804/p804-joy-7.gam,753,918,1414,47,3,0,3,-2250,-512,-980,-888,130,3,0,4,0,87,84,83,3,481260.105533091,15907.8916266865
804/p804-joy-8.gam,978,783,1945,25,9,0,3,-1584,-852,-910,-52,230,4,0,0,0,109,134,78,5,388134.800921554,9979.64121962262
804/p804-joy-9.gam,913,748,1722,39,4,0,2,-2591,-1130,-1036,-585,160,4,0,0,0,108,117,70,3,467381.068061426,14353.0631306908
804/p804-key-1.gam,440,543,771,39,5,0,4,-2732,-1150,-756,-606,-220,0,1,0,0,114,91,95,0,482219.966528709,14068.7635245799
804/p804-key-10.gam,513,562,976,45,3,0,2,-2186,-536,-938,-882,170,2,0,1,0,147,89,84,0,492558.956692087,17567.0082106038
